Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Move Forward, Get Battle Info, Move Forward, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, Rotate Left Eighth, Get Battle Info, Get Battle Info, Shoot, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Move Forward, Move Forward, Move Forward, Get Battle Info, None, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Rotate Left Eighth, Shoot, Rotate Right Quarter, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Shoot, Get Battle Info
Move Forward, None, Move Forward, Move Forward, Get Battle Info, None
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, None, Get Battle Info
Move Forward, Get Battle Info, Rotate Right Quarter, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, Shoot, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Rotate Right Eighth, Get Battle Info
None, None, Move Forward, Move Forward, Get Battle Info, None
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Move Forward, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, Shoot, Move Forward, Get Battle Info, Rotate Right Quarter, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
None, None, Move Forward, Move Forward, Rotate Right Eighth, None
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, Shoot, Get Battle Info
Get Battle Info, Rotate Right Eighth, Move Forward, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info, None, Get Battle Info
Get Battle Info, Shoot, None (killed), Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, killed, Move Forward, Rotate Right Quarter, Rotate Left Eighth
Get Battle Info, Move Forward, killed, Get Battle Info (killed), Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, killed, killed, Get Battle Info, None
Get Battle Info, Get Battle Info, killed, killed, Shoot, Get Battle Info
Get Battle Info, Move Forward, killed, killed, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, killed, killed, None, Get Battle Info
Get Battle Info, Move Forward, killed, killed, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, killed, killed, Get Battle Info, Get Battle Info
Get Battle Info, Move Forward, killed, killed, Shoot, Get Battle Info
Get Battle Info, Get Battle Info, killed, killed, Get Battle Info, Get Battle Info
Get Battle Info, Rotate Left Quarter, killed, killed, None, Get Battle Info
Get Battle Info, Get Battle Info, killed, killed, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, killed, killed, Get Battle Info, Get Battle Info
Get Battle Info, Move Forward, killed, killed, Shoot, Get Battle Info
Get Battle Info, Get Battle Info, killed, killed, Get Battle Info, Get Battle Info
