Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Rotate Left Quarter, Get Battle Info, Get Battle Info, Shoot
Get Battle Info, Get Battle Info, Get Battle Info, Get Battle Info
Shoot, Move Forward, Get Battle Info, None
Get Battle Info, Get Battle Info, Move Forward (killed), Get Battle Info
None, Get Battle Info, killed, Move Forward
Get Battle Info, Get Battle Info, killed, Get Battle Info
Move Forward, Get Battle Info, killed, Get Battle Info
Get Battle Info, Get Battle Info, killed, Move Forward
Get Battle Info, Get Battle Info, killed, Get Battle Info
Move Forward, Get Battle Info, killed, Move Forward
Get Battle Info, Get Battle Info, killed, Get Battle Info
Move Forward, Get Battle Info, killed, Move Forward
Get Battle Info, Get Battle Info, killed, Get Battle Info
Move Forward, Get Battle Info, killed, Rotate Right Quarter
Get Battle Info, Get Battle Info, killed, Get Battle Info
Move Forward, Get Battle Info, killed, Rotate Right Eighth
Get Battle Info, Get Battle Info, killed, Get Battle Info
Shoot, Get Battle Info, killed, Shoot
Get Battle Info, Get Battle Info, killed, Get Battle Info
Move Forward, None (killed), killed, None
Player 1 won with 2 tanks still alive
